Time,Distance,Engine,Lateral_acc,Longitudinal_a,GPS_Speed,GPS_LatAcc,GPS_LonAcc,GPS_Heading,GPS_Gyro,GPS_Latitude,GPS_Longitude,
1.540,0.000,2660.000000,-0.753723,0.456795,0.240800,0.000000,0.000000,76.112122,-0.022096,-5.843433812651,-35.195871030916,
1.550,0.000,2704.399902,-0.821754,0.338097,0.244800,0.000000,0.000000,76.112122,-0.022096,-5.843433807154,-35.195870988470,
1.560,0.000,2746.399902,-0.878666,0.305442,0.248800,0.000000,0.000000,76.112122,-0.022096,-5.843433801657,-35.195870946025,
1.570,0.000,2785.800049,-0.777866,0.406014,0.252800,0.000000,0.000000,76.112122,-0.022096,-5.843433796160,-35.195870903579,
1.580,0.000,2814.800049,-0.622596,0.501941,0.256800,0.000000,0.000000,76.112122,-0.022096,-5.843433758978,-35.195870848518,
1.590,0.000,2842.000000,-0.667627,0.426154,0.260800,0.000000,0.000000,76.112122,-0.022096,-5.843433708215,-35.195870788052,
1.600,0.000,2862.000000,-0.868187,0.257622,0.264800,0.000000,0.000000,76.112122,-0.022096,-5.843433657453,-35.195870727585,
1.610,0.000,2878.899902,-0.917483,0.237970,0.268800,0.000000,0.000000,76.112122,-0.022096,-5.843433606690,-35.195870667118,
1.620,0.000,2883.399902,-0.793556,0.375179,0.272800,0.000000,0.000000,76.112122,-0.022096,-5.843433555928,-35.195870606652,
1.630,0.000,2885.699951,-0.794683,0.429806,0.276800,0.000000,0.000000,76.112122,-0.022096,-5.843433505166,-35.195870546185,
1.640,0.000,2879.199951,-0.945395,0.325778,0.280800,0.000000,0.000000,76.112122,-0.022096,-5.843433459483,-35.195870493043,
1.650,0.000,2872.399902,-0.947376,0.245148,0.284800,0.000000,0.000000,76.112122,-0.022096,-5.843433434122,-35.195870469202,
1.660,0.000,2864.399902,-0.793475,0.300175,0.288800,0.000000,0.000000,76.112122,-0.022096,-5.843433408761,-35.195870445361,
1.670,0.000,2858.000000,-0.793125,0.397902,0.292800,0.000000,0.000000,76.112122,-0.022096,-5.843433383399,-35.195870421519,
1.680,0.000,2858.000000,-0.982237,0.423248,0.296800,0.000000,0.000000,76.112122,-0.022096,-5.843433358038,-35.195870397678,
1.690,0.000,2856.100098,-1.091497,0.370454,0.301000,0.000000,0.000000,76.112122,-0.022096,-5.843433332676,-35.195870373836,
1.700,0.000,2846.600098,-1.031197,0.322404,0.306000,0.000000,0.000000,76.112122,-0.022096,-5.843433307315,-35.195870349995,
1.710,0.000,2837.600098,-0.963999,0.361711,0.311000,0.000000,0.000000,76.112122,-0.022096,-5.843433281953,-35.195870326153,
1.720,0.000,2830.600098,-0.990243,0.453452,0.316000,0.000000,0.000000,76.112122,-0.022096,-5.843433256592,-35.195870302312,
1.730,0.000,2824.000000,-1.043611,0.467785,0.321000,0.000000,0.000000,76.112122,-0.022096,-5.843433231231,-35.195870278470,
1.740,0.000,2819.000000,-1.030777,0.391556,0.326000,0.000000,0.000000,76.112122,-0.022096,-5.843433205869,-35.195870254629,
1.750,0.000,2813.600098,-0.945263,0.375652,0.331000,0.000000,0.000000,76.112122,-0.022096,-5.843433180508,-35.195870230787,
1.760,0.000,2806.600098,-0.881850,0.466973,0.336000,0.000000,0.000000,76.112122,-0.022096,-5.843433155146,-35.195870206946,
1.770,0.000,2799.500000,-0.921185,0.504765,0.341000,0.000000,0.000000,76.112122,-0.022096,-5.843433129785,-35.195870183104,
1.780,0.000,2792.000000,-0.982305,0.419850,0.346000,0.000000,0.000000,76.112122,-0.022096,-5.843433104423,-35.195870159263,
1.790,0.000,2784.300049,-0.937237,0.371110,0.351000,0.000000,0.000000,76.112122,-0.022096,-5.843433079062,-35.195870135421,
1.800,0.000,2775.800049,-0.846783,0.439704,0.356000,0.000000,0.000000,76.112122,-0.022096,-5.843433053700,-35.195870111580,
1.810,0.000,2767.100098,-0.854503,0.486880,0.361000,0.000000,0.000000,76.112122,-0.022096,-5.843433028339,-35.195870087738,
1.820,0.000,2757.600098,-0.925162,0.433486,0.366000,0.000000,0.000000,76.112122,-0.022096,-5.843433002978,-35.195870063897,
1.830,0.000,2747.800049,-0.927372,0.384504,0.371000,0.000000,0.000000,76.112122,-0.022096,-5.843432975291,-35.195870037065,
1.840,0.000,2736.800049,-0.862225,0.405487,0.376000,0.000000,0.000000,76.112122,-0.022096,-5.843432946608,-35.195870008952,
1.850,0.000,2725.800049,-0.825466,0.425774,0.381000,0.000000,0.000000,76.112122,-0.022096,-5.843432917925,-35.195869980839,
1.860,0.000,2714.800049,-0.847488,0.388472,0.386000,0.000000,0.000000,76.112122,-0.022096,-5.843432889242,-35.195869952726,
1.870,0.000,2703.399902,-0.884962,0.332693,0.391000,0.000000,0.000000,76.112122,-0.022096,-5.843432860559,-35.195869924613,
1.880,0.000,2690.399902,-0.900446,0.319029,0.396000,0.000000,0.000000,76.112122,-0.022096,-5.843432831876,-35.195869896500,
1.890,0.000,2680.000000,-0.892777,0.340382,0.402000,0.000000,0.000000,76.112122,-0.022096,-5.843432803193,-35.195869868388,
1.900,0.000,2680.000000,-0.885596,0.346350,0.412000,0.000000,0.000000,76.112122,-0.022096,-5.843432774510,-35.195869840275,
1.910,0.000,2677.300049,-0.899449,0.349757,0.422000,0.000000,0.000000,76.112122,-0.022096,-5.843432745827,-35.195869812162,
1.920,0.000,2663.800049,-0.927907,0.396521,0.432000,0.000000,0.000000,76.112122,-0.022096,-5.843432717144,-35.195869784049,
1.930,0.000,2650.800049,-0.946590,0.437547,0.442000,0.000000,0.000000,76.112122,-0.022096,-5.843432688461,-35.195869755936,
